Datetime,Tweet Id,Text,Username
2022-12-31 19:39:09+00:00,1609272967808094209,Getting stoned then listings to Sun Tzu  art of war  audiobook only to become able to see the scarry depths of the dark side of the mankind ,BigDatawithIoT
2022-12-31 19:37:15+00:00,1609272493218439170, Imposter022 The Art of War  Quiet Sapiens Ikigai,calmlikevirgil
2022-12-31 19:30:12+00:00,1609270718310633476,I don t know how I ended up with this book in my hand  For neither I am a soldier nor I have got anything to do with war yet I have read  The Art of War  completely  It isn t a business  fiction or a self help book  It s a treatise on war  a classic book     c5IMaoSqnO,jkmayo
2022-12-31 19:14:04+00:00,1609266658933088257,11  Buddhism for Beginners   Thubten Chodron 12  The Art of War   Sun Tzu  I ll recommend 1 2  amp  3 for everyone  5  6  amp  7 for anyone interested in Hinduism and cast politics   My walks are now productive with Audibles  Hope I can continue to read at least 1 book a month in 2023 ,ThaiThaVetri
2022-12-31 19:11:13+00:00,1609265939291279360, RecurrinProblem  EndWokeness The moral to the story is I rather have my kid reading the art of war  than some book on transgenders or better yet a drag queen having story time with my kid ,coupusa
2022-12-31 19:04:17+00:00,1609264197061480448,In the practical art of war  the best thing of all is to take the enemy s country whole and intact  to shatter and destroy it is not so good ,ArtofWarBot
2022-12-31 18:54:35+00:00,1609261756169457664,The Art of War  Wisehouse Classics Edition  SLGBGUM      t9Xi13SbeQ     MxVi5lBuOB,bartell37feuy
2022-12-31 18:54:11+00:00,1609261651542396928, criminalplaza Sun Tzu The Art of War,VikatMiTosho
2022-12-31 18:52:50+00:00,1609261314584772609, black2019year  OSINTua WOOHOO I FOUND IT  The Art of War by Sabaton  Give it a listen here      DUz6LbDEi0,SongFinderBot
2022-12-31 18:43:36+00:00,1609258991531573250,Yes  it would be a genderbent reboot of the Art of War,rachelnabors
2022-12-31 18:36:47+00:00,1609257274962317312,Your flow is trite  playboy  Try reading Sun Tzu s  The Art of War  to improve your rap game,wormsofbarlo
2022-12-31 18:36:05+00:00,1609257098923200515,Fantastic Beast   jk rowling    Ready Player One  E Cline   The Art of War Sun Tzu     A few books I m looking forward to reading next year  Only The Dead  JackCarrUSA   Never Split the Difference  fbinegotiator   The Innovation Factory  prithbanerjee    Open to suggestions  ,PatrickSolomon1
2022-12-31 18:35:48+00:00,1609257026391052289,The Art of War 4E2DYYW      C4rPm4EXh2     ThxLgP7XEV,Dina48K
2022-12-31 18:31:14+00:00,1609255878766788608, obama I miss And The MRNA Jabs Were made to Create the Spike in a person  Evertime One comes into contact with a Corona Virus    Clot Shots    And You Wonder why The CCP was So Willing to let the Sequence of The Novel Sars Cov2 Covid19  Gain of Function to be given to the World   Art of War     hKJrNSlzYx,Ihearya777
2022-12-31 18:30:28+00:00,1609255686277402624, robbfps Honorable mention to  How Champions Think  by Dr  Bob Rotella  I need to check out the art of war next ,Bradborygmos
2022-12-31 18:28:40+00:00,1609255232206159873, bhsyeol send me the art of war link please,miel_liel
2022-12-31 18:09:17+00:00,1609250355141042179, coupusa  EndWokeness them to cut them off from their logistical supply lines  amp  force the pocket  the guys in the encirclement  to fight until they are out of ammunition  amp  force them to surrender  so you can capture them  which could be more valuable than killing    No  the Art of War is NOT perfect ,RecurrinProblem
2022-12-31 18:02:35+00:00,1609248666430369793, Book 11  Read this book to understand what is all the buzz about  And the points that are mentioned  when you ponder about it will actually make sense  and then you will realise how the person has analysed the whole art of war and what is needed to do in certain situations      rDJIppATmj,i_ujjwaljha
2022-12-31 17:57:25+00:00,1609247368771239941,The art of war     WdFgEKtMyu,TronDGAF
2022-12-31 17:50:43+00:00,1609245680404672513, coupusa  EndWokeness Some of the Art of War is now old and obsolete  In the old days  you would have an easier time killing your enemy if you left them an escape instead of fully encircling  In modern times  that s literally giving them an opportunity to escape the encirclement when you could cut,RecurrinProblem
2022-12-31 17:49:13+00:00,1609245303512911873, PersonaSimon  RbArchibald  shadesisla  SocDoneLeft  EndWokeness The US lost in Vietnam  what history book you reading  They failed because they didn t follow the rules of the art of war,IUncommonSenseI
2022-12-31 17:41:17+00:00,1609243309251207169,The Complete Art of War  The Art of War by Sun Tzu  On War by Carl von Clausewitz  The Art of War by Niccol  Machiavelli  The ZSNIN1T      insQftx24c     NUnIVw5EJZ,faustino47wwv
2022-12-31 17:32:36+00:00,1609241122748129280, PersonaSimon  RbArchibald  shadesisla  SocDoneLeft  EndWokeness The art of war is the core principle on how all warfare is conducted  whoever ignores it is doomed to fail,IUncommonSenseI
2022-12-31 17:31:28+00:00,1609240835996155904,The Art of War  The Essential Translation of the Classic Book of Life  Penguin Classics Deluxe Edition  JWUJYO0      zLkFpuFjlQ     gI9542OvQc,danial95f
2022-12-31 16:59:19+00:00,1609232746093891584, duckiesmallz The Art of War   Sun Tzu,RicoXantana
