,tweets;;
"118,""Yes, it's truly insane that an attractive person is attractive. I can't think of a single word to describe this situation that would be more accurate. Marisa Tomei was hot in this movie and *still* is? The film version of her didn't age like the picture of Dorian Gray? INSANE! https://t.co/5Qa1JjU4yO""";;
119,The Picture of Dorian Gray will forever be one of my favourite books and Oscar Wilde’s writing style is just *chef’s kiss*.;;
"120,""RT @Apostrophe99: ~ The Picture of Dorian Gray, 1945   #blackandwhitephotography https://t.co/tdoDiHcyEJ""";;
"121,""I have seen my soul!";;
It's rotten, black as coal!;;
For all I see is decay;;
Take a look, take a look;;
At the picture of Dorian Gray!;;
;;
#Pyogenesis;;
"https://t.co/qnUTQg8oki""";;
122,I'm really enjoying the picture of Dorian gray;;
"123,""RT @GaneshBhoi19: “Experience is merely the name men gave to their mistakes.”";;
― Oscar Wilde, The Picture of Dorian Gray;;
;;
"RASHAMI AS PALAK A…""";;
124,The cashier asked me what my fav book was and when I said The Picture of Dorian Gray she shuddered.. Exactly!!! She said it was so eerie and that reaction is exactly how I felt reading it!!;;
"125,""RT @Apostrophe99: ~ The Picture of Dorian Gray, 1945   #blackandwhitephotography https://t.co/tdoDiHcyEJ""";;
"126,""RT @GaneshBhoi19: “Experience is merely the name men gave to their mistakes.”";;
― Oscar Wilde, The Picture of Dorian Gray;;
;;
"RASHAMI AS PALAK A…""";;
"127,""RT @GaneshBhoi19: “Experience is merely the name men gave to their mistakes.”";;
― Oscar Wilde, The Picture of Dorian Gray;;
;;
"RASHAMI AS PALAK A…""";;
"128,""Absolutely love this line from The Picture of Dorian Gray.";;
"Women just don't appreciate hot dudes the same way that men do."""" https://t.co/vbS19UfWeO""";;
"129,""RT @GaneshBhoi19: “Experience is merely the name men gave to their mistakes.”";;
― Oscar Wilde, The Picture of Dorian Gray;;
;;
"RASHAMI AS PALAK A…""";;
"130,""RT @GaneshBhoi19: “Experience is merely the name men gave to their mistakes.”";;
― Oscar Wilde, The Picture of Dorian Gray;;
;;
"RASHAMI AS PALAK A…""";;
"131,""RT @GaneshBhoi19: “Experience is merely the name men gave to their mistakes.”";;
― Oscar Wilde, The Picture of Dorian Gray;;
;;
"RASHAMI AS PALAK A…""";;
"132,""RT @GaneshBhoi19: “Experience is merely the name men gave to their mistakes.”";;
― Oscar Wilde, The Picture of Dorian Gray;;
;;
"RASHAMI AS PALAK A…""";;
"133,""“Experience is merely the name men gave to their mistakes.”";;
― Oscar Wilde, The Picture of Dorian Gray;;
;;
RASHAMI AS PALAK AWAITED ;;
#TandoorTrailerOutTomorrow ;;
#RashamiDesai ;;
"#Tandoor""";;
134,should i read my policeman (for fun) or the picture of dorian gray (for school);;
135,Cr: The Picture of Dorian Gray. https://t.co/IpflKDBx6X;;
"136,""RT @Apostrophe99: ~ The Picture of Dorian Gray, 1945   #blackandwhitephotography https://t.co/tdoDiHcyEJ""";;
"137,""RT @Apostrophe99: ~ The Picture of Dorian Gray, 1945   #blackandwhitephotography https://t.co/tdoDiHcyEJ""";;
"138,""RT @Mr_S_Crane: “Some things are more precious because they don’t last long.” - Oscar Wilde, The Picture of Dorian Gray https://t.co/o92oTi…""";;
"139,""~ The Picture of Dorian Gray, 1945   #blackandwhitephotography https://t.co/tdoDiHcyEJ""";;
"140,""@DukeDFS He reminds me of Dorian Gray. ";;
"(A nickname applied to someone who doesn't seem to age. The phrase refers to the character in Oscar Wilde's novel The Picture of Dorian Gray, who makes a deal with an artist so that a painting of him ages, but he does not.)""";;
"141,""RT @Mr_S_Crane: “Some things are more precious because they don’t last long.” - Oscar Wilde, The Picture of Dorian Gray https://t.co/o92oTi…""";;
"142,""RT @Mr_S_Crane: “Some things are more precious because they don’t last long.” - Oscar Wilde, The Picture of Dorian Gray https://t.co/o92oTi…""";;
"143,""RT @Mr_S_Crane: “Some things are more precious because they don’t last long.” - Oscar Wilde, The Picture of Dorian Gray https://t.co/o92oTi…""";;
"144,""RT @Mr_S_Crane: “Some things are more precious because they don’t last long.” - Oscar Wilde, The Picture of Dorian Gray https://t.co/o92oTi…""";;
"145,""RT @Mr_S_Crane: “Some things are more precious because they don’t last long.” - Oscar Wilde, The Picture of Dorian Gray https://t.co/o92oTi…""";;
"146,""""""There is only one thing in the world worse than being talked about, and that is not being talked about.""""";;
— Oscar Wilde, The Picture of Dorian Gray;;
" https://t.co/CmaOVmjNlW""";;
"147,""“Some things are more precious because they don’t last long.” - Oscar Wilde, The Picture of Dorian Gray https://t.co/o92oTiaMaR""";;
"148,""“I am too fond of reading books to care to write them.” ";;
"― Oscar Wilde, The Picture of Dorian Gray""";;
"149,""RT @bookhooe: btw helloo i'm new to #booktwt &amp"; i'm looking for some moots!!;
favs:;;
#NOM?;;
"- aristole and dante discover the secrets of t…""";;
"150,""RT @bookhooe: btw helloo i'm new to #booktwt &amp"; i'm looking for some moots!!;
favs:;;
#NOM?;;
"- aristole and dante discover the secrets of t…""";;
"151,""RT @bookhooe: btw helloo i'm new to #booktwt &amp"; i'm looking for some moots!!;
favs:;;
#NOM?;;
"- aristole and dante discover the secrets of t…""";;
152,@danielmarven The picture of Dorian Gray;;
"153,""@xgzhongguo Now I can see that being his real picture.";;
;;
"More repulsive than the picture of Dorian Gray.""";;
"154,""Me: needs to finish The Picture of Dorian Gray for my exams (which I love very much, don't get me wrong)";;
;;
"Also me: reads poetry for no reason""";;
155,why did i ever doubt that the picture of dorian gray was gay;;
"156,""@BillyVacant On The Road, Lord of the Flies, Picture of Dorian Gray.""";;
157,i think i’m gonna start reading six of crows or the picture of dorian gray. hmm !! have u read either of it !!! is it good :D;;
158,@ahoyboygenius me what r i buying? i’m getting the picture of dorian gray;;
"159,""I'm listening to """"The Picture of Dorian Gray"""" and so far it's just been 3 hours of the 2 main dudes describing what an absolute babe he is and his hot oblivious energy. I recommend.""";;
"160,""hi i'm new to #booktwt and i need moots :))";;
;;
here are some of the books i love:;;
;;
#NOM?;;
#NOM?;;
#NOM?;;
#NOM?;;
;;
some books on my tbr!;;
;;
#NOM?;;
#NOM?;;
#NOM?;;
;;
pls like/rt if u want to be mutuals! &lt;"3""";
"161,""""""Women, as some witty Frenchman once put it, inspire us with the desire to do masterpieces and always prevent us from carrying them out.""""";;
;;
- Oscar Wilde, The Picture of Dorian Gray and Other Writings;;
;;
"#women""";;
"162,""RT @HorrorHammer1: The Picture of Dorian Gray (1945) The original canvas of the final version of Dorian Gray's portrait - the corrupted, de…""";;
163,@dontfwpendejas have you read the picture of dorian gray my english teacher raved about it and i enjoyed it a lot;;
"164,""RT @Louise_Salome_: Some things are more precious ";;
 because they don't last long.;;
You will always be fond of me. ;;
"I represent to you all th…""";;
"165,""@guroclass kafka  on  the  shore,  the  picture  of  dorian  gray,  and  the  old  man  and  the  sea.  the  old  man  and  the  sea  is  my  personal  favorite,  so  that  one  is  a  must  read.""";;
166,I finished the picture of Dorian Gray. Very humiliating to admit I started it over a year ago💀 I’m so bad at reading physical books;;
167,I’m reading The Picture of Dorian Gray for the first time and this is Lord Henry lmao https://t.co/HWU9R5HuQr;;
"168,""@MarkRavenhill2 La Cauntatrice Chauve, Ionesco in Paris, mid 80s";;
I still have the poster that I bought from the theatre when I was 18. ;;
I was mesmerised;;
"Also Rupert Everett in The Picture Of Dorian Gray at @citizenstheatre when I was 16. He was staggering.""";;
169,Currently reading The Picture of Dorian Gray. I’m getting a bit of a gay vibe from it. Not sure why 🤷‍♂️;;
"170,""rewritehistory: To live is the rarest thing in the world. Most people exist, that is all. · the picture of dorian gray, oscar wilde. https://t.co/ZXxvFuWqDO""";;
171,@lmanburgsux 1] what does /nf mean /gen 2] literally my go to is just gonna be mbs. but I also got back into reading by reading classics and would recommend like. the picture of dorian gray;;
172,oh shit i never finished the picture of dorian gray;;
173,@realufobros The picture of Dorian Gray!;;
174,RT @princessa_jota: I thought y’all were kidding but man Oscar Wilde kinda went off with the Picture of Dorian Gray;;
"175,""btw helloo i'm new to #booktwt &amp"; i'm looking for some moots!!;
favs:;;
#NOM?;;
#NOM?;;
#NOM?; tsoa;
#NOM?;;
#NOM?;;
tbr: ;;
